patient_id,attack,mode,clean_prob,adv_prob,prob_change,success,l0_norm,l2_norm,linf_norm
0c5dc7d1-7022-4e46-bc02-ff9999912edd,FGSM_eps8,lesion,0.518,0.5054,-0.012695,0,39379,6.225613400046901,0.031372549019607954
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,FGSM_eps8,lesion,0.5225,0.51,-0.012695,0,27218,5.175805067140873,0.031372549019607954
f92ddac9-aba6-4607-ba72-6ab7e8776fef,FGSM_eps8,lesion,0.52,0.509,-0.01123,0,25798,5.0389822178311565,0.031372549019607954
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,FGSM_eps8,lesion,0.521,0.5093,-0.01172,0,14088,3.7236982274403863,0.031372549019607954
051e6e97-fda7-4b5c-8d5f-084bf3607d22,FGSM_eps8,lesion,0.5005,0.4954,-0.005127,1,2826,1.6677689549806445,0.031372549019607954
5acc56a4-1b6e-4394-9364-9772047d583f,FGSM_eps8,lesion,0.5107,0.4978,-0.01294,1,11494,3.3634533067766212,0.031372549019607954
ad4d16e5-a851-4327-b9fe-5977da445669,FGSM_eps8,lesion,0.512,0.504,-0.0083,0,13498,3.644890774518481,0.031372549019607954
c1f94928-371a-42d0-91ae-f959928694fe,FGSM_eps8,lesion,0.5127,0.503,-0.009766,0,33012,5.700142655897118,0.031372549019607954
96f34fa9-0e56-4fdb-bfd7-781d8c453bcb,FGSM_eps8,lesion,0.515,0.506,-0.00928,0,7025,2.629498763018072,0.0313725490196079
b9201f87-a5ef-49f1-b45f-4c54272bc5d6,FGSM_eps8,lesion,0.519,0.5054,-0.01367,0,39432,6.229801502370591,0.031372549019607954
33a39200-fa81-4530-ae1e-274ca204f3ea,FGSM_eps8,lesion,0.5103,0.503,-0.007324,0,7851,2.7797919648663294,0.031372549019607954
427412d0-cf4c-4a13-b58e-6ffdd004c6ec,FGSM_eps8,lesion,0.5156,0.5044,-0.01123,0,30158,5.448175325655826,0.031372549019607954
72848196-fd24-4106-9c33-9c29b7a66a04,FGSM_eps8,lesion,0.5195,0.518,-0.001465,0,3526,1.8629060817949519,0.031372549019607954
abcb43a2-7b1d-428a-b909-e54c92acbd5b,FGSM_eps8,lesion,0.516,0.5083,-0.007812,0,5780,2.3851391759997753,0.0313725490196079
9954f203-ec80-45ce-85a6-fb155368370f,FGSM_eps8,lesion,0.5083,0.498,-0.010254,1,4439,2.0902218296614805,0.031372549019607954
077ff78d-27ef-49d4-9e8e-00e458844a3e,FGSM_eps8,lesion,0.5166,0.493,-0.02368,1,68069,8.185109462711575,0.031372549019607954
bf7b0977-4f77-45a7-8c03-77602f82b905,FGSM_eps8,lesion,0.517,0.51,-0.007324,0,7153,2.653346200405819,0.031372549019607954
c34a3ea0-04d7-4df6-afab-0d7c7280b749,FGSM_eps8,lesion,0.5103,0.492,-0.01831,1,21458,4.595623346271101,0.031372549019607954
e2bc24a7-e469-48e2-9d5a-6ffc8557d59e,FGSM_eps8,lesion,0.5186,0.509,-0.009766,0,3233,1.7838266950060548,0.031372549019607954
175c8be2-76a4-469b-9595-ed33ecedb3cb,FGSM_eps8,lesion,0.5225,0.5156,-0.006836,0,7632,2.7407472524350185,0.031372549019607954
bcaf0768-3841-4280-8de4-57e822f38c7a,FGSM_eps8,lesion,0.5205,0.509,-0.01172,0,14336,3.7563305529965842,0.031372549019607954
6e73017c-4e3a-499b-a597-4a797bb179de,FGSM_eps8,lesion,0.5244,0.5225,-0.001953,0,3739,1.9183486426617031,0.031372549019607954
dc995045-8ec6-4cef-ba20-350c66732a9b,FGSM_eps8,lesion,0.521,0.513,-0.007812,0,8156,2.8332729486746695,0.0313725490196079
83f0d9e7-520b-41ee-a7c0-f93713784281,FGSM_eps8,lesion,0.5176,0.5,-0.01758,0,50708,7.064607651981257,0.031372549019607954
bfbea630-4c43-485f-b1b2-0e5715109ae3,FGSM_eps8,lesion,0.4983,0.4878,-0.0105,0,23608,4.8203592324188405,0.031372549019607954
4a567c8b-ab4e-4c3a-a053-9a23b087545a,FGSM_eps8,lesion,0.524,0.4973,-0.02661,1,27003,5.15532221826762,0.031372549019607954
b900d3e4-787b-44b3-9754-88f93db99c27,FGSM_eps8,lesion,0.523,0.5024,-0.02051,0,32656,5.669324297073703,0.031372549019607954
0983ae59-b906-4fd5-a810-edfe0580fe3b,FGSM_eps8,lesion,0.5156,0.508,-0.007812,0,12426,3.497159829673091,0.031372549019607954
e15ecf55-b05a-4f6f-bb25-d51d4a438963,FGSM_eps8,lesion,0.505,0.5044,-0.0004883,0,999,0.9915909414449635,0.03137254901960787
747b1c03-c554-41ea-9d57-7b54894985f3,FGSM_eps8,lesion,0.5103,0.504,-0.006348,0,21673,4.618589055076167,0.031372549019607954
87e4af8b-1110-481d-86de-f315ca03936d,FGSM_eps8,lesion,0.518,0.5093,-0.00879,0,13382,3.6291951291793834,0.031372549019607954
878ae8b8-f206-4d82-8099-3a56f89bb9c4,FGSM_eps8,lesion,0.5117,0.5,-0.01172,0,5352,2.2951330080843144,0.031372549019607954
34873b9f-5305-404e-b7f7-5105feede48a,FGSM_eps8,lesion,0.5156,0.506,-0.009766,0,32620,5.66619850159158,0.031372549019607954
72a10e64-2d93-4b61-8b90-8efef7284ced,FGSM_eps8,lesion,0.5195,0.4998,-0.01978,1,18991,4.323383128555501,0.031372549019607954
04e6f392-a196-447f-9b75-f5af995a36d0,FGSM_eps8,lesion,0.5186,0.514,-0.004395,0,1790,1.327322089493721,0.031372549019607954
5a8415b5-f658-4d37-8144-1aa22420f84f,FGSM_eps8,lesion,0.518,0.506,-0.01221,0,13902,3.699035068540573,0.031372549019607954
3874e3f6-0c79-4fc1-a874-1d761e475e53,FGSM_eps8,lesion,0.5166,0.5054,-0.01123,0,16643,4.047302014277071,0.031372549019607954
2c376b9a-167a-43d3-bcc2-b4af32fb9f74,FGSM_eps8,lesion,0.507,0.5024,-0.004395,0,1675,1.283976905391757,0.0313725490196079
cf951660-886d-482d-99bf-2bdaedd5f4fd,FGSM_eps8,lesion,0.5176,0.4963,-0.02124,1,41997,6.429229676484369,0.031372549019607954
acb5c720-f741-415c-993c-65855be08ffa,FGSM_eps8,lesion,0.5234,0.5093,-0.01416,0,30392,5.469271048116933,0.031372549019607954
112bf6f9-0ac8-4ca0-a84b-ea29811fd871,FGSM_eps8,lesion,0.517,0.5034,-0.01367,0,41768,6.4116771595630215,0.031372549019607954
e6295ee0-bb33-49e3-9376-8b78f5a3fc52,FGSM_eps8,lesion,0.5166,0.5127,-0.003906,0,3731,1.9162952852173116,0.031372549019607954
780579a3-2dcc-4343-9c92-de8be54e2865,FGSM_eps8,lesion,0.5146,0.502,-0.012695,0,15494,3.90509480996523,0.031372549019607954
228b3dc1-f78a-4ac9-b213-2a416583d063,FGSM_eps8,lesion,0.521,0.512,-0.00879,0,9627,3.0781890750156267,0.031372549019607954
3a010152-9ce2-4780-bdd8-bac6fa101991,FGSM_eps8,lesion,0.504,0.4966,-0.007324,1,2340,1.5176014585032562,0.0313725490196079
9b6f8882-b59f-4a4d-8f48-b3f355fd70b9,FGSM_eps8,lesion,0.516,0.51,-0.006348,0,14558,3.7853031318610264,0.031372549019607954
d99282ee-dc00-40d4-bb8d-5f8dba263a05,FGSM_eps8,lesion,0.515,0.5083,-0.006836,0,5453,2.3166880335575852,0.031372549019607954
1748e4e2-5c73-4794-81fe-2c5fe4af8cdd,FGSM_eps8,lesion,0.5205,0.514,-0.006348,0,10460,3.208600514646738,0.031372549019607954
095edab1-09c6-4f83-931e-f0a33b77639c,FGSM_eps8,lesion,0.4946,0.4907,-0.003906,0,8191,2.839345680048702,0.031372549019607954
fd147f16-7eeb-474f-98df-c3b0c39c163c,FGSM_eps8,lesion,0.5195,0.5137,-0.00586,0,17370,4.134754378633185,0.031372549019607954
f1ba6a94-27b8-4537-8a11-6c4dbc3fe428,FGSM_eps8,lesion,0.5176,0.5103,-0.007324,0,9369,3.0366617985697273,0.0313725490196079
