patient_id,attack,mode,clean_prob,adv_prob,prob_change,success,l0_norm,l2_norm,linf_norm
0c5dc7d1-7022-4e46-bc02-ff9999912edd,PGD_steps10,lesion,0.518,0.4897,-0.02832,1,34512,4.847801199573698,0.031372549019607954
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,PGD_steps10,lesion,0.5225,0.4937,-0.02881,1,25849,4.606573041477441,0.031372549019607954
f92ddac9-aba6-4607-ba72-6ab7e8776fef,PGD_steps10,lesion,0.52,0.4873,-0.0327,1,23027,4.08103988979326,0.031372549019607954
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,PGD_steps10,lesion,0.521,0.4968,-0.02417,1,12436,3.016805422261472,0.031372549019607954
051e6e97-fda7-4b5c-8d5f-084bf3607d22,PGD_steps10,lesion,0.5005,0.4944,-0.006104,1,2798,1.6103662651339858,0.031372549019607954
5acc56a4-1b6e-4394-9364-9772047d583f,PGD_steps10,lesion,0.5107,0.4895,-0.02124,1,9988,2.663735413175132,0.031372549019607954
ad4d16e5-a851-4327-b9fe-5977da445669,PGD_steps10,lesion,0.512,0.4956,-0.0166,1,13042,3.377706954072449,0.031372549019607954
c1f94928-371a-42d0-91ae-f959928694fe,PGD_steps10,lesion,0.5127,0.481,-0.03174,1,29583,4.616624090510246,0.031372549019607954
96f34fa9-0e56-4fdb-bfd7-781d8c453bcb,PGD_steps10,lesion,0.515,0.5005,-0.01465,0,6688,2.38522944231847,0.0313725490196079
b9201f87-a5ef-49f1-b45f-4c54272bc5d6,PGD_steps10,lesion,0.519,0.4912,-0.02783,1,37867,5.628378689672186,0.031372549019607954
33a39200-fa81-4530-ae1e-274ca204f3ea,PGD_steps10,lesion,0.5103,0.4963,-0.013916,1,7507,2.5346806348729,0.031372549019607954
427412d0-cf4c-4a13-b58e-6ffdd004c6ec,PGD_steps10,lesion,0.5156,0.4854,-0.03027,1,26443,4.276452158081669,0.031372549019607954
72848196-fd24-4106-9c33-9c29b7a66a04,PGD_steps10,lesion,0.5195,0.516,-0.003418,0,3396,1.7072295784473643,0.031372549019607954
abcb43a2-7b1d-428a-b909-e54c92acbd5b,PGD_steps10,lesion,0.516,0.504,-0.01221,0,5631,2.241779377845014,0.0313725490196079
9954f203-ec80-45ce-85a6-fb155368370f,PGD_steps10,lesion,0.5083,0.4958,-0.01245,1,4263,1.9468840630059654,0.031372549019607954
077ff78d-27ef-49d4-9e8e-00e458844a3e,PGD_steps10,lesion,0.5166,0.4722,-0.04443,1,59955,6.326150239684139,0.031372549019607954
bf7b0977-4f77-45a7-8c03-77602f82b905,PGD_steps10,lesion,0.517,0.5034,-0.01367,0,6981,2.482994062733725,0.031372549019607954
c34a3ea0-04d7-4df6-afab-0d7c7280b749,PGD_steps10,lesion,0.5103,0.4824,-0.02783,1,19906,3.9599455528123064,0.031372549019607954
e2bc24a7-e469-48e2-9d5a-6ffc8557d59e,PGD_steps10,lesion,0.5186,0.5063,-0.01221,0,3189,1.716213924464308,0.031372549019607954
175c8be2-76a4-469b-9595-ed33ecedb3cb,PGD_steps10,lesion,0.5225,0.5107,-0.01172,0,7502,2.6017236176026426,0.031372549019607954
bcaf0768-3841-4280-8de4-57e822f38c7a,PGD_steps10,lesion,0.5205,0.504,-0.0166,0,13940,3.498786520016472,0.031372549019607954
6e73017c-4e3a-499b-a597-4a797bb179de,PGD_steps10,lesion,0.5244,0.5225,-0.001953,0,3683,1.8297553425554325,0.031372549019607954
dc995045-8ec6-4cef-ba20-350c66732a9b,PGD_steps10,lesion,0.521,0.509,-0.01221,0,7936,2.6489724382964583,0.0313725490196079
83f0d9e7-520b-41ee-a7c0-f93713784281,PGD_steps10,lesion,0.5176,0.4763,-0.04126,1,44294,5.471936020634532,0.031372549019607954
bfbea630-4c43-485f-b1b2-0e5715109ae3,PGD_steps10,lesion,0.4983,0.4812,-0.01709,0,22183,4.2500252164708625,0.031372549019607954
4a567c8b-ab4e-4c3a-a053-9a23b087545a,PGD_steps10,lesion,0.524,0.484,-0.04004,1,25125,4.454570548291265,0.031372549019607954
b900d3e4-787b-44b3-9754-88f93db99c27,PGD_steps10,lesion,0.523,0.4824,-0.04053,1,30391,4.840029168604374,0.031372549019607954
0983ae59-b906-4fd5-a810-edfe0580fe3b,PGD_steps10,lesion,0.5156,0.5024,-0.01318,0,12025,3.242783962548006,0.031372549019607954
e15ecf55-b05a-4f6f-bb25-d51d4a438963,PGD_steps10,lesion,0.505,0.5034,-0.001465,0,983,0.9370825996351778,0.0313725490196079
747b1c03-c554-41ea-9d57-7b54894985f3,PGD_steps10,lesion,0.5103,0.4854,-0.0249,1,18877,3.5824683111379434,0.031372549019607954
87e4af8b-1110-481d-86de-f315ca03936d,PGD_steps10,lesion,0.518,0.5024,-0.01563,0,12826,3.3159500596593046,0.031372549019607954
