algorithm,mode,patient_id,clean_prob,adv_prob,success,confidence_drop,efficiency,l2_norm,linf_norm,l0_norm,param_use_torchattacks,param_epsilon,param_num_steps,param_alpha
fgsm,lesion,0c5dc7d1-7022-4e46-bc02-ff9999912edd,0.518,0.512,0.0,0.00586,0.0002347008019805712,24.965296020326498,0.12549019607843148,39578,False,0.12549019607843137,,
fgsm,lesion,bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,0.5225,0.514,0.0,0.0083,0.00039968067932569446,20.768532669649005,0.12549019607843148,27390,False,0.12549019607843137,,
fgsm,lesion,f92ddac9-aba6-4607-ba72-6ab7e8776fef,0.52,0.5137,0.0,0.006348,0.00031426429333861265,20.198464736233657,0.12549019607843148,25907,False,0.12549019607843137,,
fgsm,lesion,7f9623a6-510f-4e84-8e58-12b65a5e9dfc,0.521,0.515,0.0,0.00586,0.00039275734546043324,14.918562475778586,0.12549019607843148,14133,False,0.12549019607843137,,
fgsm,lesion,051e6e97-fda7-4b5c-8d5f-084bf3607d22,0.5,0.4944,1.0,0.005615,0.0008403913195401102,6.681690107971281,0.12549019607843148,2835,False,0.12549019607843137,,
fgsm,lesion,5acc56a4-1b6e-4394-9364-9772047d583f,0.5107,0.5015,0.0,0.00928,0.0006889108462112136,13.466682654414972,0.12549019607843148,11516,False,0.12549019607843137,,
fgsm,lesion,ad4d16e5-a851-4327-b9fe-5977da445669,0.512,0.5024,0.0,0.009766,0.0006683569171749167,14.611392120537676,0.12549019607843148,13557,False,0.12549019607843137,,
fgsm,lesion,c1f94928-371a-42d0-91ae-f959928694fe,0.5127,0.507,0.0,0.00586,0.00025640957257599647,22.851623434219725,0.12549019607843148,33160,False,0.12549019607843137,,
fgsm,lesion,96f34fa9-0e56-4fdb-bfd7-781d8c453bcb,0.515,0.5044,0.0,0.01074,0.0010192858336576613,10.53893533598842,0.12549019607843148,7053,False,0.12549019607843137,,
fgsm,lesion,b9201f87-a5ef-49f1-b45f-4c54272bc5d6,0.519,0.504,0.0,0.01514,0.0006048907048575588,25.02389046880052,0.12549019607843148,39764,False,0.12549019607843137,,
fgsm,lesion,33a39200-fa81-4530-ae1e-274ca204f3ea,0.5103,0.506,0.0,0.004395,0.0003947940359150045,11.131199679516337,0.12549019607843148,7868,False,0.12549019607843137,,
fgsm,lesion,427412d0-cf4c-4a13-b58e-6ffdd004c6ec,0.5156,0.5083,0.0,0.007324,0.00033528634128816165,21.844667809931277,0.12549019607843148,30302,False,0.12549019607843137,,
fgsm,lesion,72848196-fd24-4106-9c33-9c29b7a66a04,0.5195,0.5186,0.0,0.000977,0.00013068353668452496,7.472727808481522,0.12549019607843148,3546,False,0.12549019607843137,,
fgsm,lesion,abcb43a2-7b1d-428a-b909-e54c92acbd5b,0.516,0.506,0.0,0.010254,0.0010735636045830896,9.551279677785269,0.12549019607843148,5793,False,0.12549019607843137,,
fgsm,lesion,9954f203-ec80-45ce-85a6-fb155368370f,0.5083,0.4978,1.0,0.0105,0.0012556139632490771,8.360887318645846,0.12549019607843148,4439,False,0.12549019607843137,,
