steps,overshoot,asr,avg_l2,avg_conf_drop,efficiency
50,0.01,0.25,239.6460896106462,0.01651,6.88932992470686e-05
50,0.02,0.25,239.64614611490873,0.01651,6.889328300326444e-05
50,0.05,0.25,239.64803163184212,0.01651,6.889274096062461e-05
100,0.01,0.25,239.6460896106462,0.01651,6.88932992470686e-05
100,0.02,0.25,239.64614611490873,0.01651,6.889328300326444e-05
100,0.05,0.25,239.64803163184212,0.01651,6.889274096062461e-05
150,0.01,0.25,239.6460896106462,0.01651,6.88932992470686e-05
150,0.02,0.25,239.64614611490873,0.01651,6.889328300326444e-05
150,0.05,0.25,239.64803163184212,0.01651,6.889274096062461e-05
200,0.01,0.25,239.6460896106462,0.01651,6.88932992470686e-05
200,0.02,0.25,239.64614611490873,0.01651,6.889328300326444e-05
200,0.05,0.25,239.64803163184212,0.01651,6.889274096062461e-05
