patient_id,algorithm,mode,c,kappa,overshoot,steps,lr,success,clean_prob,adv_prob,confidence_drop,l2_norm,linf_norm,l0_norm
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,0.01,0.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,0.01,0.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,0.01,0.0,,1000,0.05,1.0,0.5224609375,0.499267578125,0.023193359375,258.90089498660456,1.7781165466295064,149839
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,0.01,1.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,0.01,1.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,0.01,1.0,,1000,0.05,1.0,0.5224609375,0.499267578125,0.023193359375,258.90089498660456,1.7781165466295064,149839
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,0.01,10.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,0.01,10.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,0.01,10.0,,1000,0.05,1.0,0.5224609375,0.499267578125,0.023193359375,258.90089498660456,1.7781165466295064,149839
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,0.1,0.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,0.1,0.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,0.1,0.0,,1000,0.05,1.0,0.5224609375,0.4990234375,0.0234375,258.90352724603946,1.7781165466295068,150460
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,0.1,1.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,0.1,1.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,0.1,1.0,,1000,0.05,1.0,0.5224609375,0.4990234375,0.0234375,258.90352724603946,1.7781165466295068,150460
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,0.1,10.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,0.1,10.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,0.1,10.0,,1000,0.05,1.0,0.5224609375,0.4990234375,0.0234375,258.90352724603946,1.7781165466295068,150460
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,1.0,0.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,1.0,0.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,1.0,0.0,,1000,0.05,1.0,0.5224609375,0.499267578125,0.023193359375,258.9040324301028,1.7781165466295117,150520
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,1.0,1.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,1.0,1.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,1.0,1.0,,1000,0.05,1.0,0.5224609375,0.499267578125,0.023193359375,258.9040324301028,1.7781165466295117,150520
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,1.0,10.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,1.0,10.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,1.0,10.0,,1000,0.05,1.0,0.5224609375,0.499267578125,0.023193359375,258.9040324301028,1.7781165466295117,150520
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,5.0,0.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,5.0,0.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,5.0,0.0,,1000,0.05,1.0,0.5224609375,0.499267578125,0.023193359375,258.90409030245473,1.778116546629533,150526
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,5.0,1.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,5.0,1.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,5.0,1.0,,1000,0.05,1.0,0.5224609375,0.499267578125,0.023193359375,258.90409030245473,1.778116546629533,150526
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,5.0,10.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,random_patch,5.0,10.0,,1000,0.05,0.0,0.5224609375,0.5224609375,0.0,0.0,0.0,0
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,full,5.0,10.0,,1000,0.05,1.0,0.5224609375,0.499267578125,0.023193359375,258.90409030245473,1.778116546629533,150526
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,cw,lesion,50.0,0.0,,1000,0.05,0.0,0.5224609375,0.5068359375,0.015625,84.03850048513023,1.456499667236692,27420
