,,success,success,success,confidence_drop,confidence_drop,efficiency,efficiency,l2_norm,l2_norm
,,mean,std,count,mean,std,mean,std,mean,std
algorithm,mode,,,,,,,,,
cw,full,0.08,0.272,200,0.0012,0.004,0.0,0.0,30.6572,82.9907
cw,lesion,0.01,0.0997,200,0.0035,0.0053,0.0,0.0,233.7093,61.4967
cw,random_patch,0.0145,0.1199,138,0.0038,0.0048,0.0,0.0,239.159,61.5707
deepfool,full,0.33,0.4714,200,0.0165,0.0055,0.0001,0.0,227.4785,72.7194
deepfool,lesion,0.015,0.1219,200,0.0095,0.0053,0.0,0.0,233.7201,61.4956
deepfool,random_patch,0.0147,0.1208,136,0.0048,0.005,0.0,0.0,239.212,61.9598
pgd,full,1.0,0.0,200,0.0536,0.0063,0.0054,0.0007,9.9871,0.2748
pgd,lesion,0.615,0.4878,200,0.0212,0.0121,0.0056,0.0019,3.5297,1.3536
pgd,random_patch,1.0,0.0,139,0.0529,0.0063,0.0053,0.0007,10.036,0.2656
