algorithm,mode,patient_id,clean_prob,adv_prob,success,confidence_drop,efficiency,l2_norm,linf_norm,l0_norm,param_epsilon,param_alpha,param_num_steps,param_use_torchattacks,param_c,param_steps,param_lr,param_overshoot
pgd,lesion,0c5dc7d1-7022-4e46-bc02-ff9999912edd,0.518,0.4854,1.0,0.0327,0.006229632545992025,5.251488502119039,0.031372549019607954,37247,0.03137254901960784,0.00784313725490196,40.0,False,,,,
pgd,lesion,bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,0.5225,0.49,1.0,0.03247,0.006577105014685022,4.936929391689814,0.031372549019607954,26919,0.03137254901960784,0.00784313725490196,40.0,False,,,,
pgd,lesion,f92ddac9-aba6-4607-ba72-6ab7e8776fef,0.52,0.4812,1.0,0.03882,0.008853904990368533,4.3843207408130525,0.031372549019607954,24655,0.03137254901960784,0.00784313725490196,40.0,False,,,,
pgd,lesion,7f9623a6-510f-4e84-8e58-12b65a5e9dfc,0.521,0.4954,1.0,0.02563,0.007988627763752922,3.20890724955633,0.031372549019607954,12934,0.03137254901960784,0.00784313725490196,40.0,False,,,,
pgd,lesion,051e6e97-fda7-4b5c-8d5f-084bf3607d22,0.5,0.4944,1.0,0.005615,0.003385344699266456,1.6586890966710937,0.031372549019607954,2827,0.03137254901960784,0.00784313725490196,40.0,False,,,,
pgd,lesion,5acc56a4-1b6e-4394-9364-9772047d583f,0.5107,0.488,1.0,0.0227,0.007918635034718964,2.8672969452770674,0.031372549019607954,10736,0.03137254901960784,0.00784313725490196,40.0,False,,,,
pgd,lesion,ad4d16e5-a851-4327-b9fe-5977da445669,0.512,0.495,1.0,0.01709,0.004825707151072711,3.541417489029356,0.031372549019607954,13322,0.03137254901960784,0.00784313725490196,40.0,False,,,,
pgd,lesion,c1f94928-371a-42d0-91ae-f959928694fe,0.5127,0.4785,1.0,0.03418,0.006949999471691032,4.91794101132264,0.031372549019607954,31402,0.03137254901960784,0.00784313725490196,40.0,False,,,,
pgd,lesion,96f34fa9-0e56-4fdb-bfd7-781d8c453bcb,0.515,0.5,0.0,0.01514,0.0058547327308308365,2.585381671095453,0.0313725490196079,6983,0.03137254901960784,0.00784313725490196,40.0,False,,,,
pgd,lesion,b9201f87-a5ef-49f1-b45f-4c54272bc5d6,0.519,0.4883,1.0,0.03076,0.005205890116562488,5.909021898113637,0.031372549019607954,39141,0.03137254901960784,0.00784313725490196,40.0,False,,,,
pgd,lesion,33a39200-fa81-4530-ae1e-274ca204f3ea,0.5103,0.496,1.0,0.01416,0.0053700875344099555,2.6368576127604944,0.031372549019607954,7673,0.03137254901960784,0.00784313725490196,40.0,False,,,,
