algorithm,mode,patient_id,clean_prob,adv_prob,success,confidence_drop,efficiency,l2_norm,linf_norm,l0_norm,param_steps,param_overshoot
deepfool,lesion,0c5dc7d1-7022-4e46-bc02-ff9999912edd,0.518,0.5,0.0,0.01807,9.918280967782922e-05,182.15259587515635,1.704671972319616,92210,50,0.01
deepfool,lesion,bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,0.5225,0.5,0.0,0.02246,8.678201874655163e-05,258.8201775385029,1.777664106265571,102959,50,0.01
deepfool,lesion,f92ddac9-aba6-4607-ba72-6ab7e8776fef,0.52,0.5,0.0,0.02002,0.00015560271544353812,128.65798126581052,1.777664106265571,81786,50,0.01
deepfool,lesion,7f9623a6-510f-4e84-8e58-12b65a5e9dfc,0.521,0.5,0.0,0.021,0.0003126494747994464,67.1553782725583,1.4564987137831231,72550,50,0.01
deepfool,lesion,051e6e97-fda7-4b5c-8d5f-084bf3607d22,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,50,0.01
deepfool,lesion,5acc56a4-1b6e-4394-9364-9772047d583f,0.5107,0.4988,1.0,0.01196,0.00010552967624446694,113.36044087003378,1.79226253374815,79116,50,0.01
deepfool,lesion,ad4d16e5-a851-4327-b9fe-5977da445669,0.512,0.4998,1.0,0.01245,4.577034473339091e-05,272.03578970334416,1.79226253374815,95593,50,0.01
deepfool,lesion,c1f94928-371a-42d0-91ae-f959928694fe,0.5127,0.5,0.0,0.012695,7.092243601045254e-05,179.00276997563566,1.79226253374815,94135,50,0.01
deepfool,lesion,96f34fa9-0e56-4fdb-bfd7-781d8c453bcb,0.515,0.5,0.0,0.01514,6.351458501453473e-05,238.31878529791155,1.79226253374815,94052,50,0.01
deepfool,lesion,b9201f87-a5ef-49f1-b45f-4c54272bc5d6,0.519,0.5,0.0,0.01904,6.479366493656211e-05,293.90170733506994,1.79226253374815,119847,50,0.01
deepfool,lesion,33a39200-fa81-4530-ae1e-274ca204f3ea,0.5103,0.5,0.0,0.010254,4.633672946502887e-05,221.29110897383106,1.79226253374815,89394,50,0.01
deepfool,lesion,427412d0-cf4c-4a13-b58e-6ffdd004c6ec,0.5156,0.4998,1.0,0.01587,7.936334432578909e-05,199.95554319211942,1.719270398068725,100957,50,0.01
deepfool,lesion,72848196-fd24-4106-9c33-9c29b7a66a04,0.5195,0.5,0.0,0.01953,8.767890479757302e-05,222.7588271570637,1.690073546570507,95953,50,0.01
deepfool,lesion,abcb43a2-7b1d-428a-b909-e54c92acbd5b,0.516,0.5,0.0,0.01611,8.050837186326739e-05,200.14416980834181,1.79226253374815,100828,50,0.01
deepfool,lesion,9954f203-ec80-45ce-85a6-fb155368370f,0.5083,0.4998,1.0,0.008545,5.2373438013104575e-05,163.1537320948494,1.79226253374815,96122,50,0.01
deepfool,lesion,077ff78d-27ef-49d4-9e8e-00e458844a3e,0.5166,0.5,0.0,0.0166,7.093690433584354e-05,234.03280217434107,1.79226253374815,114478,50,0.01
deepfool,lesion,bf7b0977-4f77-45a7-8c03-77602f82b905,0.517,0.4998,1.0,0.01733,5.343210576417508e-05,324.41140259322685,1.79226253374815,110452,50,0.01
deepfool,lesion,c34a3ea0-04d7-4df6-afab-0d7c7280b749,0.5103,0.5,0.0,0.010254,6.071991517175443e-05,168.87220972539652,1.777664106265571,79221,50,0.01
deepfool,lesion,e2bc24a7-e469-48e2-9d5a-6ffc8557d59e,0.5186,0.4998,1.0,0.0188,6.814335089672692e-05,275.8717890584614,1.79226253374815,101536,50,0.01
deepfool,lesion,175c8be2-76a4-469b-9595-ed33ecedb3cb,0.5225,0.5,0.0,0.02246,7.369012548696168e-05,304.8025410573797,1.79226253374815,114084,50,0.01
