,,success,success,success,confidence_drop,confidence_drop,efficiency,efficiency,l2_norm,l2_norm
,,mean,std,count,mean,std,mean,std,mean,std
algorithm,mode,,,,,,,,,
cw,full,0.46,0.4996,200,0.0137,0.008,0.0001,0.0,192.8002,102.0854
cw,lesion,0.24,0.4282,200,0.0054,0.0081,0.0,0.0,78.8903,112.6801
cw,random_patch,0.0719,0.2592,153,0.001,0.004,0.0,0.0,26.6754,81.4864
deepfool,full,0.34,0.4749,200,0.0165,0.0055,0.0001,0.0,227.4785,72.7195
deepfool,lesion,0.305,0.4616,200,0.0165,0.0055,0.0001,0.0,227.4236,72.6964
deepfool,random_patch,0.2338,0.4246,154,0.016,0.0059,0.0001,0.0,227.3193,74.9153
fgsm,full,0.55,0.4987,200,0.0184,0.0045,0.0015,0.0004,12.1569,0.0042
fgsm,lesion,0.165,0.3721,200,0.0103,0.0052,0.0027,0.0011,3.8925,1.6459
fgsm,random_patch,0.5871,0.494,155,0.0185,0.0044,0.0015,0.0004,12.1569,0.0039
pgd,full,1.0,0.0,200,0.0536,0.0063,0.0054,0.0007,9.9871,0.2748
pgd,lesion,0.615,0.4878,200,0.0212,0.0121,0.0056,0.0019,3.5297,1.3536
pgd,random_patch,1.0,0.0,153,0.0531,0.0064,0.0053,0.0007,10.0133,0.268
