Algorithm,Mode,N_Total,N_Success,ASR,L2_Mean,L2_Median,L2_Std,ConfDrop_Mean,ConfDrop_Std,Efficiency_Mean,Clean_Prob_Mean,Adv_Prob_Mean
FGSM,lesion,155,24,0.1548,3.2245,3.2186,1.1385,0.009,0.0047,0.0028,0.516,0.507
FGSM,random_patch,155,91,0.5871,12.1569,12.1573,0.0039,0.0185,0.0044,0.0015,0.516,0.4975
FGSM,full,155,91,0.5871,12.1569,12.1573,0.0039,0.0185,0.0044,0.0015,0.516,0.4975
PGD,lesion,155,78,0.5032,2.9891,2.8992,0.9709,0.017,0.0098,0.0053,0.516,0.499
PGD,random_patch,153,153,1.0,10.0133,10.0419,0.268,0.0531,0.0064,0.0053,0.5159,0.4628
PGD,full,155,155,1.0,10.0159,10.0449,0.2678,0.0531,0.0064,0.0053,0.516,0.4628
CW,lesion,155,31,0.2,62.4697,0.0,106.0761,0.0038,0.0071,0.0,0.516,0.5121
CW,random_patch,153,11,0.0719,26.6754,0.0,81.4864,0.001,0.004,0.0,0.5159,0.5149
CW,full,155,77,0.4968,195.3367,220.7124,102.5317,0.0134,0.0081,0.0001,0.516,0.5026
DEEPFOOL,lesion,155,46,0.2968,226.6976,230.0042,74.7488,0.0162,0.0059,0.0001,0.516,0.4998
DEEPFOOL,random_patch,154,36,0.2338,227.3193,230.3329,74.9153,0.016,0.0059,0.0001,0.5159,0.4999
DEEPFOOL,full,155,56,0.3613,226.738,230.0596,74.7665,0.0162,0.0059,0.0001,0.516,0.4998
