patient_id,attack,mode,clean_prob,adv_prob,prob_change,success,l0_norm,l2_norm,linf_norm
0c5dc7d1-7022-4e46-bc02-ff9999912edd,FGSM_eps16,lesion,0.512,0.503,-0.00928,0,39542,12.47696963376244,0.0627450980392158
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,FGSM_eps16,lesion,0.514,0.504,-0.010254,0,27349,10.376491337254906,0.0627450980392158
f92ddac9-aba6-4607-ba72-6ab7e8776fef,FGSM_eps16,lesion,0.5107,0.502,-0.00879,0,25865,10.09104269327244,0.0627450980392158
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,FGSM_eps16,lesion,0.51,0.5015,-0.0083,0,14124,7.4569057966409185,0.0627450980392158
051e6e97-fda7-4b5c-8d5f-084bf3607d22,FGSM_eps16,lesion,0.5015,0.4988,-0.002686,1,2831,3.338487364874799,0.0627450980392158
5acc56a4-1b6e-4394-9364-9772047d583f,FGSM_eps16,lesion,0.5044,0.4966,-0.007812,1,11513,6.732464228400877,0.0627450980392158
ad4d16e5-a851-4327-b9fe-5977da445669,FGSM_eps16,lesion,0.506,0.4963,-0.00952,1,13551,7.304079219248729,0.0627450980392158
c1f94928-371a-42d0-91ae-f959928694fe,FGSM_eps16,lesion,0.5073,0.5005,-0.006836,0,33125,11.419780218479243,0.0627450980392158
96f34fa9-0e56-4fdb-bfd7-781d8c453bcb,FGSM_eps16,lesion,0.505,0.4988,-0.006104,1,7052,5.269094092603487,0.06274509803921574
b9201f87-a5ef-49f1-b45f-4c54272bc5d6,FGSM_eps16,lesion,0.511,0.4993,-0.01196,1,39678,12.498407741725797,0.0627450980392158
