patient_id,attack,mode,clean_prob,adv_prob,prob_change,success,l0_norm,l2_norm,linf_norm
0c5dc7d1-7022-4e46-bc02-ff9999912edd,PGD_steps10,full,0.512,0.482,-0.03027,1,125923,8.85083704610827,0.031372549019607954
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,PGD_steps10,full,0.514,0.4807,-0.03345,1,127799,8.851497287416546,0.031372549019607954
f92ddac9-aba6-4607-ba72-6ab7e8776fef,PGD_steps10,full,0.5107,0.4795,-0.03125,1,123015,8.552260583722152,0.031372549019607954
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,PGD_steps10,full,0.51,0.4788,-0.031,1,121377,8.382336199960339,0.031372549019607954
051e6e97-fda7-4b5c-8d5f-084bf3607d22,PGD_steps10,full,0.5015,0.4802,-0.02124,1,130573,9.288569536221353,0.031372549019607954
5acc56a4-1b6e-4394-9364-9772047d583f,PGD_steps10,full,0.5044,0.4758,-0.02856,1,124917,8.61025023291618,0.031372549019607954
ad4d16e5-a851-4327-b9fe-5977da445669,PGD_steps10,full,0.506,0.4805,-0.02539,1,127350,8.961215933312847,0.031372549019607954
c1f94928-371a-42d0-91ae-f959928694fe,PGD_steps10,full,0.5073,0.4797,-0.02759,1,122094,8.361862123810932,0.031372549019607954
96f34fa9-0e56-4fdb-bfd7-781d8c453bcb,PGD_steps10,full,0.505,0.4812,-0.02368,1,127375,8.95877868317108,0.031372549019607954
b9201f87-a5ef-49f1-b45f-4c54272bc5d6,PGD_steps10,full,0.511,0.4817,-0.02954,1,131860,9.488066524964953,0.031372549019607954
