patient_id,attack,mode,clean_prob,adv_prob,prob_change,success,l0_norm,l2_norm,linf_norm
0c5dc7d1-7022-4e46-bc02-ff9999912edd,PGD_steps10,lesion,0.512,0.4917,-0.02051,1,33443,4.652871354507809,0.031372549019607954
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,PGD_steps10,lesion,0.514,0.4912,-0.02295,1,25859,4.607127186765378,0.031372549019607954
f92ddac9-aba6-4607-ba72-6ab7e8776fef,PGD_steps10,lesion,0.5107,0.4873,-0.02344,1,22817,3.9895364873733166,0.031372549019607954
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,PGD_steps10,lesion,0.51,0.4934,-0.01636,1,12220,2.9365610845783867,0.031372549019607954
051e6e97-fda7-4b5c-8d5f-084bf3607d22,PGD_steps10,lesion,0.5015,0.498,-0.003418,1,2799,1.624249153714116,0.031372549019607954
5acc56a4-1b6e-4394-9364-9772047d583f,PGD_steps10,lesion,0.5044,0.4905,-0.013916,1,10112,2.6955528899550756,0.0313725490196079
ad4d16e5-a851-4327-b9fe-5977da445669,PGD_steps10,lesion,0.506,0.4932,-0.012695,1,13107,3.4093929100909874,0.031372549019607954
c1f94928-371a-42d0-91ae-f959928694fe,PGD_steps10,lesion,0.5073,0.486,-0.02124,1,29137,4.546672822652579,0.031372549019607954
96f34fa9-0e56-4fdb-bfd7-781d8c453bcb,PGD_steps10,lesion,0.505,0.496,-0.00879,1,6726,2.3847780765582582,0.0313725490196079
b9201f87-a5ef-49f1-b45f-4c54272bc5d6,PGD_steps10,lesion,0.511,0.492,-0.01929,1,37282,5.501596007641385,0.031372549019607954
