attack,mode,num_samples,success_rate,num_success,prob_change_mean,prob_change_std,l0_mean,l0_std,l2_mean,l2_std,linf_mean,linf_std
FGSM_eps4,lesion,200,0.095,19,-0.00815,0.004536,18034.715,14367.430136380515,1.9413976340655126,0.8176691970443024,0.015686274509803977,0.0
FGSM_eps4,full,200,0.425,85,-0.01735,0.00399,147641.79,740.8141507152789,6.027303939096347,0.015137384244927771,0.015686274509804015,5.2410472075552754e-17
FGSM_eps8,lesion,200,0.145,29,-0.01026,0.005203,18034.715,14367.430136380515,3.8827952681310274,1.6353383940886055,0.03137254901960795,2.2204460492503132e-17
FGSM_eps8,full,200,0.51,102,-0.01837,0.004555,147641.79,740.8141507152789,12.05460787819271,0.030274768489852937,0.031372549019607954,0.0
FGSM_eps16,lesion,200,0.16,32,-0.01082,0.00541,18034.715,14367.430136380515,7.765590536262055,3.270676788177211,0.0627450980392158,1.8410966031475738e-17
FGSM_eps16,full,200,0.395,79,-0.01703,0.004723,147641.79,740.8141507152789,24.109215756385414,0.06054953697970813,0.06274509803921582,4.6443961262081255e-17
PGD_steps10,lesion,200,0.555,111,-0.01952,0.010925,16534.72,12736.481306137892,3.331320159083923,1.241067786334094,0.03137254901960795,2.2718917780030353e-17
PGD_steps10,full,200,0.975,195,-0.04523,0.005703,129667.75,3355.734343999835,8.98048598376864,0.356589832816489,0.031372549019607954,0.0
PGD_steps20,lesion,200,0.58,116,-0.02069,0.01169,17122.115,13331.71148584363,3.467272442255876,1.3112337403756837,0.03137254901960795,2.309724214262959e-17
PGD_steps20,full,200,0.975,195,-0.0501,0.005875,137224.04,2012.6806548481554,9.609844418475497,0.29790447628996003,0.031372549019607954,0.0
PGD_steps40,lesion,200,0.595,119,-0.02138,0.01218,17444.025,13720.241017721773,3.527103713468374,1.3521763631009642,0.03137254901960795,2.2073972817097756e-17
PGD_steps40,full,200,0.975,195,-0.054,0.006214,142121.0,1200.376107726241,9.9600830103892,0.27915554432751105,0.031372549019607954,0.0
