patient_id,attack,mode,clean_prob,adv_prob,prob_change,success,l0_norm,l2_norm,linf_norm
0c5dc7d1-7022-4e46-bc02-ff9999912edd,FGSM_eps4,full,0.518,0.502,-0.01611,0,147978,6.034181757369326,0.015686274509804088
bf842c92-c6ed-4be4-b188-c05ec8bf8dc2,FGSM_eps4,full,0.5225,0.5044,-0.01807,0,147322,6.020791861584554,0.015686274509803977
f92ddac9-aba6-4607-ba72-6ab7e8776fef,FGSM_eps4,full,0.52,0.506,-0.01416,0,148239,6.039500884531435,0.015686274509803977
7f9623a6-510f-4e84-8e58-12b65a5e9dfc,FGSM_eps4,full,0.521,0.5015,-0.01953,0,148802,6.050958789180293,0.015686274509804088
051e6e97-fda7-4b5c-8d5f-084bf3607d22,FGSM_eps4,full,0.5005,0.4846,-0.01587,1,148063,6.0359145548664355,0.015686274509803977
5acc56a4-1b6e-4394-9364-9772047d583f,FGSM_eps4,full,0.5107,0.4856,-0.02515,1,148867,6.052280241105666,0.015686274509803977
ad4d16e5-a851-4327-b9fe-5977da445669,FGSM_eps4,full,0.512,0.4958,-0.01636,1,147132,6.016908125524555,0.015686274509803977
c1f94928-371a-42d0-91ae-f959928694fe,FGSM_eps4,full,0.5127,0.5,-0.012695,0,148269,6.0401119783076815,0.015686274509803977
96f34fa9-0e56-4fdb-bfd7-781d8c453bcb,FGSM_eps4,full,0.515,0.4915,-0.02368,1,147970,6.034018644925188,0.015686274509804088
b9201f87-a5ef-49f1-b45f-4c54272bc5d6,FGSM_eps4,full,0.519,0.5024,-0.0166,0,146985,6.013901619367231,0.015686274509804088
33a39200-fa81-4530-ae1e-274ca204f3ea,FGSM_eps4,full,0.5103,0.4963,-0.013916,1,148102,6.036709436668326,0.015686274509803977
427412d0-cf4c-4a13-b58e-6ffdd004c6ec,FGSM_eps4,full,0.5156,0.5015,-0.01416,0,147720,6.028919157303863,0.015686274509804088
72848196-fd24-4106-9c33-9c29b7a66a04,FGSM_eps4,full,0.5195,0.504,-0.01563,0,147306,6.020464906732269,0.015686274509803977
abcb43a2-7b1d-428a-b909-e54c92acbd5b,FGSM_eps4,full,0.516,0.5,-0.01611,0,147779,6.030123025161048,0.015686274509803977
9954f203-ec80-45ce-85a6-fb155368370f,FGSM_eps4,full,0.5083,0.486,-0.02222,1,148812,6.051162108259715,0.015686274509803977
077ff78d-27ef-49d4-9e8e-00e458844a3e,FGSM_eps4,full,0.5166,0.4937,-0.02295,1,148167,6.03803400713181,0.015686274509803977
